id,from,to,priority,type,shape,spreadType
37099139#2,cluster_442349892_442349893_6572827938,cluster_3723347349_6572827963,3,highway.residential,"[5331.67, 3012.44]",center
37099139#3,cluster_3723347349_6572827963,9665182538,3,highway.residential,"[5307.01, 3015.67]",center
37099139#4,9665182538,cluster_6572827966_6572827967,3,highway.residential,"[5297.59, 3016.03]",center
37099139#5,cluster_6572827966_6572827967,cluster_280771581_6572827978,3,highway.residential,"[5288.17, 3015.61]",center
37099139#6,cluster_280771581_6572827978,cluster_367883846_6572827977,3,highway.residential,"[5281.3, 3015.14]",center
37099139#7,cluster_367883846_6572827977,cluster_6290446273_6572827939,3,highway.residential,"[1408.87, 4446.36]",center
37099139#8,cluster_6290446273_6572827939,cluster_6572827975_6572827976_6572827980_6572827981,3,highway.residential,"[1414.03, 4447.23]",center
37099917#1,cluster_6570524741_6570524742,6570524750,3,highway.residential,"[1419.72, 4447.08]",
37099917#7,6570524745,cluster_6135315669_6570524733_6570524734_6570524737_6865759172,3,highway.residential,"[1425.96, 4445.7]",
37711813#1,6595812561,6570524684,10,highway.tertiary,"[1436.41, 4439.18]",center
37711813#3,6570524681,cluster_6570524682_6570524683,10,highway.tertiary,"[1600.72, 4262.27]",center
37711813#5,cluster_6570524682_6570524683,37711813#5-AddedOffRampNode,10,highway.tertiary,"[1843.69, 3998.22]",center
37711813#5-AddedOffRampEdge,37711813#5-AddedOffRampNode,8457379290,10,highway.tertiary,"[1906.63, 3926.02]",center
37711813#6,8457379290,8457379295,10,highway.tertiary,"[1916.08, 3913.47]",center
37711813#7,8457379295,6570524689,10,highway.tertiary,"[1970.61, 3853.94]",center
37716852#1,cluster_442338233_442349883,442338234,3,highway.residential,"[1981.69, 3841.94]",
37718130#2,cluster_280771812_442349874_6572827950_6572827951_6894453662,442349875,3,highway.residential,"[1990.18, 3830.75]",center
37718131#0,284141728,cluster_280771812_442349874_6572827950_6572827951_6894453662,3,highway.residential,"[2014.47, 3794.11]",center
37718132#0,442349876,cluster_6568148777_6568148778_6568148779_6568170686,3,highway.residential,"[2028.87, 3770.49]",center
37718132#2,cluster_6568148777_6568148778_6568148779_6568170686,cluster_442349879_6572827937,3,highway.residential,"[2047.42, 3739.34]",center
37718132#3,cluster_442349879_6572827937,cluster_2349736003_280771621_442349880_442349881,3,highway.residential,"[2055.08, 3724.04]",center
37718132#5,cluster_2349736003_280771621_442349880_442349881,cluster_280771664_442349882,3,highway.residential,"[2067.9, 3699.02]",center
37718132#6,cluster_280771664_442349882,cluster_442338233_442349883,3,highway.residential,"[2077.55, 3677.91]",center
37718132#7,cluster_442338233_442349883,cluster_313957979_442349884,3,highway.residential,"[2085.93, 3658.36]",center
37718132#8,cluster_313957979_442349884,cluster_280771619_442349885_442349886_442349888,3,highway.residential,"[2091.65, 3642.97]",center
37718133#0,442349887,cluster_280771619_442349885_442349886_442349888,3,highway.residential,"[2100.12, 3621.1]",center
37718133#2,cluster_280771619_442349885_442349886_442349888,cluster_280771812_442349874_6572827950_6572827951_6894453662,3,highway.residential,"[2105.54, 3603.13]",center
37718133#4,cluster_280771812_442349874_6572827950_6572827951_6894453662,cluster_280771666_442349890,3,highway.residential,"[2108.49, 3592.28]",center
37718133#5,cluster_280771666_442349890,cluster_442349892_442349893_6572827938,3,highway.residential,"[2112.76, 3574.59]",center
37718147#0,442350003,cluster_367871277_367875411_8047432276,3,highway.residential,"[2116.59, 3553.69]",center
37718805#1,6572806072,cluster_8279196058_8279196059,3,highway.residential,"[2119.67, 3534.35]",center
37718805#2,cluster_8279196058_8279196059,8285673791,3,highway.residential,"[2129.53, 3474.9]",center
37718805#4,8285673791,8285673789,3,highway.residential,"[2133.46, 3451.94]",center
37718805#5,8285673789,2349727142,3,highway.residential,"[2140.95, 3389.44]",center
37718809,270749314,442356505,3,highway.residential,"[2155.64, 3241.53]",
37719479#1,442362872,6572780151,3,highway.residential,"[2162.15, 3164.68]",
37719482,442362911,442362904,3,highway.residential,"[2170.25, 3094.09]",
37789102#0,7650476435,7650476430,11,highway.secondary,"[2172.59, 3040.39]",center
37789102#1,7650476430,290681636,11,highway.secondary,"[2170.93, 3033.82]",center
37789102#17,6572611809,8010531594,11,highway.secondary,"[2168.69, 3027.47]",center
37789102#2,290681636,330056171,11,highway.secondary,"[2162.31, 3015.6]",center
37789102#4,7650476386,6572611778,11,highway.secondary,"[2153.65, 3005.29]",center
37789103,7650476370,7650476363,8,highway.trunk_link,"[3848.71, 1614.11]",center
37789105,7650321653,7650321645,8,highway.trunk_link,"[3760.99, 1605.2]",center
37789106,cluster_317515083_7650321646,456348661,8,highway.trunk_link,"[3559.63, 1654.71]",center
37789107#0,7937028037,7937028031,10,highway.tertiary,"[3487.58, 2307.28]",center
37789107#1-AddedOnRampEdge,7937028031,37789107#1-AddedOnRampNode,10,highway.tertiary,"[3486.38, 2317.71]",center
37789107#3,7151544716,6570384036,10,highway.tertiary,"[3458.14, 2581.8]",center
37789110#0,7937028005,37789110#0-AddedOffRampNode,10,highway.tertiary,"[3551.78, 1728.15]",center
37789110#0-AddedOffRampEdge,37789110#0-AddedOffRampNode,7937027995,10,highway.tertiary,"[3450.43, 2654.1]",center
37789114,8700679594,270749306,8,highway.trunk_link,"[3422.79, 2917.23]",center
37796191#4,8279196055,8279196057,3,highway.residential,"[3417.99, 2977.88]",
37796191#5,8279196057,cluster_8279196058_8279196059,3,highway.residential,"[3421.06, 2981.43]",
38071248#0,6568207771,6568207772,3,highway.residential,"[3545.85, 1782.15]",
38071249#0,6568207796,6568207616,3,highway.residential,"[3957.24, 2981.62]",center
