id,from,to,priority,type,shape,spreadType
654745276#8,cluster_415863653_6570524736,cluster_280772563_6570524690_6570524691_6570524735,3,highway.residential,"4654.87,2419.35 4662.93,2349.10",center
654745277#1,367883842,cluster_367883846_6572827977,3,highway.residential,"4970.22,2105.90 4963.09,2177.16",center
654745277#3,cluster_367883846_6572827977,367883840,3,highway.residential,"4962.07,2187.89 4953.80,2270.12",center
656524350,416931804,7650476386,11,highway.secondary,"2157.23,3241.66 2158.16,3232.69 2160.92,3226.49 2162.75,3221.12 2164.12,3215.63 2183.42,3066.52 2186.64,3042.95 2189.43,3019.34 2191.32,3001.54 2192.98,2983.72 2195.64,2948.03 2209.99,2784.50 2211.03,2773.45 2211.52,2762.36 2211.48,2751.26 2214.03,2740.74",center
658857453#1,6570392641,6168878115,3,highway.residential,"5433.37,2168.63 5422.99,2169.12 5408.66,2169.79 5369.20,2171.25",
658893836,8574575805,6570392654,3,highway.residential,"5545.83,1970.85 5475.84,1976.79 5441.15,1980.25",
669874944,6570398988,cluster_6570398987_6570398989,3,highway.residential,"3371.74,2277.92 3289.86,2267.61",center
669882749,7937930877,7937930869,7,highway.primary_link,"4164.67,1535.09 4168.37,1535.72 4170.64,1539.56 4171.80,1543.85 4171.77,1548.30 4170.55,1552.57 4168.22,1556.38 4164.97,1559.43 4161.02,1561.50",center
669890458#0,7937930894,6574850841,10,highway.tertiary,"4220.69,1585.78 4218.54,1602.61",center
669890458#1-AddedOnRampEdge,6574850841,669890458#1-AddedOnRampNode,10,highway.tertiary,"4220.12,1602.85 4216.72,1636.04 4209.94,1702.33",center
669890458#10-AddedOnRampEdge,2349727154,669890458#10-AddedOnRampNode,10,highway.tertiary,"4122.67,2503.79 4120.72,2520.89 4116.51,2567.73 4111.88,2603.16",center
669890458#14,6287791510,8285673807,10,highway.tertiary,"4088.94,2798.12 4081.06,2863.69 4078.63,2892.87",center
669890458#16,8285673802,cluster_284142560_492400840_8768432608_8768432610,10,highway.tertiary,"4077.03,2907.51 4073.34,2942.73 4066.73,3007.05",center
669890458#18,cluster_284142560_492400840_8768432608_8768432610,669890458#18-AddedOffRampNode,10,highway.tertiary,"4065.24,3021.54 4060.78,3064.95",center
669890458#18-AddedOffRampEdge,669890458#18-AddedOffRampNode,6290322048,10,highway.tertiary,"4059.19,3064.79 4050.25,3151.83 4051.88,3164.59",center
669890458#19,6290322048,415861878,10,highway.tertiary,"4053.47,3164.39 4055.74,3169.77 4058.93,3175.51 4063.68,3181.80 4071.65,3187.56",center
669890458#3,442349875,6572827974,10,highway.tertiary,"4200.67,1807.59 4169.84,2081.94 4169.27,2086.54",center
669890458#7,278877776,669890458#7-AddedOffRampNode,10,highway.tertiary,"4155.65,2205.18 4141.51,2338.86 4139.41,2359.37",center
669890458#7-AddedOffRampEdge,669890458#7-AddedOffRampNode,284141730,10,highway.tertiary,"4137.82,2359.20 4127.66,2458.69",center
669890458#9,284141730,2349727154,10,highway.tertiary,"4126.07,2458.52 4121.08,2503.61",center
669890462#0,10143103170,5503407036,10,highway.tertiary,"4016.01,3182.10 4020.87,3175.21 4024.80,3167.76 4027.71,3159.86 4029.58,3151.64",center
669890462#1,5503407036,367206874,10,highway.tertiary,"4031.16,3151.87 4032.80,3140.22 4042.34,3057.21",center
669890462#10,2349727152,2349727143,10,highway.tertiary,"4106.38,2501.77 4108.42,2457.36",center
669890462#15-AddedOffRampEdge,669890462#15-AddedOffRampNode,6574850842,10,highway.tertiary,"4193.15,1702.72 4200.20,1634.77 4203.47,1603.26",center
669890462#16,6574850842,6584263837,10,highway.tertiary,"4205.06,1603.39 4206.73,1585.62",center
669890462#17,6584263837,8120282289,10,highway.tertiary,"4209.92,1585.92 4208.39,1548.52",center
669890462#18,8120282289,6273610477,10,highway.tertiary,"4208.39,1548.52 4218.08,1520.80",center
669890462#5,6574850837,6574844070,10,highway.tertiary,"4065.34,2845.72 4078.74,2718.09 4080.56,2702.07 4094.58,2578.82",center
669890462#9,6574844069,2349727152,10,highway.tertiary,"4097.32,2568.81 4102.67,2519.54 4104.79,2501.58",center
669973308,cluster_6274370099_6570392639,6570392656,3,highway.residential,"5454.14,2110.51 5497.53,2108.13 5511.48,2107.21",
669978304#0,443380037,cluster_6274422668_7130062668,3,highway.residential,"5398.89,1667.01 5392.68,1591.76",
669978306#1,cluster_3676648877_6274422665_6274422675_6274422676_8257585320,6274422674,3,highway.residential,"5382.18,1412.66 5479.07,1421.82",center
669978307#1,cluster_6274422671_6274422672_6274422679_6274422680,6274422678,3,highway.residential,"5393.09,1498.57 5469.94,1505.72",center
669984029,7937296055,7937296054,7,highway.primary_link,"5354.60,1689.02 5350.83,1691.89 5348.09,1689.35 5345.95,1686.25 5344.55,1682.78 5343.94,1679.09 5344.15,1675.35 5345.16,1671.75 5346.95,1668.46 5349.41,1665.62 5352.42,1663.38 5355.85,1661.85",center
669984031#0,6479674238,6274461825,3,highway.residential,"4700.77,1189.79 4697.31,1220.70 4695.58,1236.07 4691.32,1274.13",
670273857#0,6574259367,cluster_7937930837_8074011492_8074011494_8074018926,12,highway.primary,"3469.62,1435.77 3478.84,1350.36",center
670273857#2,cluster_7937930837_8074011492_8074011494_8074018926,8010633846,12,highway.primary,"3476.74,1340.06 3482.84,1285.18 3487.48,1238.22 3551.51,701.85 3555.32,673.76 3560.31,636.45 3570.70,557.92 3575.35,517.81 3576.22,511.04 3575.94,504.21 3574.53,497.54 3572.02,491.18 3568.49,485.32 3564.03,480.13",center
670279140#1,cluster_492502671_492502673_6276998190_6276998191,272513533,3,highway.residential,"2768.88,1493.39 2779.80,1405.51",center
670520191,7937930788,7937930787,7,highway.primary_link,"3528.35,1486.34 3524.69,1488.65 3522.27,1485.57 3520.62,1482.01 3519.82,1478.19 3519.92,1474.27 3520.89,1470.49 3522.72,1467.03 3525.28,1464.06 3527.93,1466.52",center
670655025,6280342312,6280342310,3,highway.residential,"4462.09,2904.96 4455.85,2969.18 4456.67,2972.06 4458.82,2973.71 4462.06,2974.24 4488.08,2978.57",
671462239#1,6287897744,6287897741,3,highway.residential,"4435.79,2754.67 4432.12,2785.35 4431.94,2789.50 4434.26,2792.96 4438.18,2794.37 4462.59,2796.78 4469.06,2797.41 4473.52,2796.56 4476.06,2794.91 4478.02,2792.61 4480.72,2791.39 4483.65,2790.88 4506.27,2793.89",
671462241,6287897745,6287897744,3,highway.residential,"4367.75,2747.36 4407.96,2751.68 4435.79,2754.67",
671741180,6290322048,5503407036,5,highway.tertiary_link,"4048.70,3165.00 4051.13,3166.71 4046.62,3169.23 4041.47,3169.63 4036.62,3167.85 4032.98,3164.19 4031.23,3159.36 4032.75,3152.09",center
671744652#0,2349727152,8006886507,10,highway.tertiary,"4103.21,2501.39 4098.54,2497.23 4094.02,2493.81 4089.03,2491.14 4083.68,2489.27 4078.10,2488.27 4073.43,2487.99",center
671744652#1-AddedOnRampEdge,8006886507,671744652#1-AddedOnRampNode,10,highway.tertiary,"4073.61,2486.40 3974.29,2474.78",center
671744652#2-AddedOnRampEdge,8006886518,671744652#2-AddedOnRampNode,10,highway.tertiary,"3907.54,2466.97 3808.02,2457.24",center
671744652#4,386923862,8006884473,10,highway.tertiary,"3726.89,2448.77 3671.53,2442.18",center
671744652#5,8006884473,cluster_2349727150_6574844066,10,highway.tertiary,"3671.34,2443.77 3475.92,2420.47",center
671744652#7,cluster_2349727150_6574844066,9134495896,10,highway.tertiary,"3464.19,2417.47 3452.26,2416.95 3439.75,2417.37 3427.28,2418.88 3415.00,2421.37 3410.18,2422.75",center
671744652#8,9134495896,313958668,10,highway.tertiary,"3410.62,2424.29 3403.46,2426.35 3391.87,2430.75 3380.67,2436.06",center
671752493,8318634315,8318634316,7,highway.primary_link,"5337.41,2806.53 5337.48,2802.07 5342.14,2799.62 5347.41,2799.78 5351.91,2802.49 5354.49,2807.06 5350.99,2810.95",center
671752494,8318643217,8318643218,7,highway.primary_link,"5360.53,2772.65 5361.20,2778.05 5356.33,2780.35 5350.96,2780.15 5346.27,2777.50 5343.35,2773.01 5341.47,2766.59",center
674580387,8227450787,6317430313,3,highway.residential,"3195.22,3157.59 3161.14,3346.86 3161.66,3351.46 3163.81,3355.57 3167.30,3358.62 3171.65,3360.23 3214.68,3367.95",
675092244#0,6572611871,6572611874,3,highway.residential,"2174.26,2468.94 2171.52,2469.73 2169.41,2471.65 2168.37,2474.29",
675092244#1,6572611874,6572611871,3,highway.residential,"2168.37,2474.29 2168.62,2477.11 2170.09,2479.54 2172.77,2480.73 2193.11,2483.38 2195.73,2483.28 2198.04,2482.06 2199.58,2479.94 2200.04,2477.37 2199.33,2474.87 2197.58,2472.92 2195.16,2471.92 2174.26,2468.94",
675093183#3,2265599310,473604480,3,highway.residential,"2554.31,1968.83 2538.67,1967.28 2522.90,1965.97 2505.68,1964.69",
675093183#4,473604480,cluster_4325419700_6572911046,3,highway.residential,"2505.68,1964.69 2406.15,1954.57",
675106503,6574209430,6574209431,3,highway.residential,"2585.92,1688.71 2498.72,1680.41 2494.88,1680.00 2491.17,1679.01 2487.94,1676.96 2485.48,1674.04 2484.01,1670.52 2483.67,1666.71 2484.04,1662.99 2487.50,1629.75 2488.18,1626.20 2490.21,1623.17 2493.04,1620.86 2496.42,1619.46 2500.06,1619.09 2503.52,1619.40 2591.95,1628.03",
687586411#1,6445594631,6278080736,3,highway.residential,"4188.34,2979.88 4193.64,2980.41 4211.76,2982.26 4215.86,2982.94 4218.73,2985.95 4219.21,2990.07 4215.63,3022.40",
687586414#1,6445594630,cluster_8285673800_8285673801_8285673804_8285673806,3,highway.residential,"4158.46,2976.83 4163.43,2934.92 4165.59,2916.57",
